date,open,close,high,low,volume
2024-06-20,34.291,35.201,35.511,34.291,85560.0
2024-06-21,35.181,35.891,35.891,34.921,80920.0
2024-06-24,35.751,36.091,36.701,35.251,83458.0
2024-06-25,36.101,35.641,36.711,35.341,67266.0
2024-06-26,35.341,35.691,35.761,34.981,55868.0
2024-06-27,35.541,34.051,35.611,33.911,116689.0
2024-06-28,33.951,34.121,34.811,33.801,142338.0
2024-07-01,34.121,34.971,35.341,34.121,91632.0
2024-07-02,35.011,33.211,35.301,32.501,234361.0
2024-07-03,33.201,32.141,33.241,31.601,162334.0
2024-07-04,32.041,32.681,33.441,32.041,111105.0
2024-07-05,32.681,33.221,33.491,32.141,69177.0
2024-07-08,33.231,32.361,33.401,32.171,83026.0
2024-07-09,32.131,31.841,32.461,31.031,169930.0
2024-07-10,31.831,32.041,32.331,31.661,74702.0
2024-07-11,32.331,32.631,32.921,31.931,105242.0
2024-07-12,32.701,32.811,33.611,32.701,92180.0
2024-07-15,32.541,33.161,33.361,32.411,67705.0
2024-07-16,33.101,32.041,33.431,31.991,85410.0
2024-07-17,32.051,31.071,32.231,30.741,91370.0
2024-07-18,31.011,31.351,31.521,30.521,68127.0
2024-07-19,31.141,32.011,32.241,30.871,81227.0
2024-07-22,31.841,30.761,31.981,30.731,110684.0
2024-07-23,30.791,30.021,30.921,30.021,46378.0
2024-07-24,29.931,29.131,30.061,28.971,90881.0
2024-07-25,28.931,29.521,29.901,28.651,91755.0
2024-07-26,29.611,29.781,30.101,29.411,44242.0
2024-07-29,29.781,29.581,30.491,29.351,48275.0
2024-07-30,29.421,28.841,29.491,28.371,62205.0
2024-07-31,28.841,30.531,30.711,28.491,78697.0
2024-08-01,30.831,30.201,31.351,30.051,57542.0
2024-08-02,30.041,29.451,30.221,29.151,47280.0
2024-08-05,28.951,28.471,29.721,28.411,49120.0
2024-08-06,28.881,28.511,29.291,28.041,66748.0
2024-08-07,28.581,28.501,28.831,28.161,43584.0
2024-08-08,28.501,29.871,30.221,28.501,106719.0
2024-08-09,30.051,29.401,30.551,29.141,68602.0
2024-08-12,29.321,30.311,30.431,29.321,56443.0
2024-08-13,30.281,30.391,30.671,29.921,41239.0
2024-08-14,30.641,29.461,30.641,29.451,30969.0
2024-08-15,29.211,29.281,30.141,28.971,54216.0
2024-08-16,29.541,28.801,29.541,28.661,36923.0
2024-08-19,28.801,29.221,29.341,28.561,33962.0
2024-08-20,29.011,28.371,29.201,28.171,31019.0
2024-08-21,28.181,28.351,28.371,27.541,33439.0
2024-08-22,28.351,27.651,28.411,27.311,55137.0
2024-08-23,27.341,27.661,27.781,27.341,23921.0
2024-08-26,27.821,27.041,27.841,26.821,66344.0
2024-08-27,26.831,26.891,27.121,26.561,39021.0
2024-08-28,26.541,26.671,26.971,26.441,39226.0
2024-08-29,26.331,26.581,26.941,25.541,160333.0
2024-08-30,26.541,28.421,29.161,26.471,155557.0
2024-09-02,28.341,27.641,28.701,27.641,66657.0
2024-09-03,27.561,27.641,27.961,27.441,49462.0
